torque_ts
Ek: 1e-06,
Rat: 20.0,
0.00032408460360552400,713537.1400304080
0.0003250846036055240,714047.2357341050
0.0003260846036055240,714580.3677608510
0.00032708460360552400,715149.313340375
0.00032808460360552400,715767.0961230330
0.0003290846036055240,716446.6068131920
0.0003300846036055240,717200.2232722130
0.0003310846036055240,718039.4528436250
0.0003320846036055240,718974.629174004
0.0003330846036055240,720014.6861123440
0.0003340846036055240,721166.9981002360
0.00033508460360552400,722437.2689125270
0.00033608460360552400,723829.4792044630
0.0003370846036055250,725345.9216628490
0.0003380846036055250,726987.3242699670
0.0003390846036055250,728753.0150263080
0.0003400846036055250,730641.0619227720
0.0003410846036055250,732648.3417893080
0.0003420846036055250,734770.5271437480
0.0003430846036055250,737002.0051764740
0.00034408460360552500,739335.7520206680
0.00034508460360552500,741763.1906031020
0.0003460846036055250,744274.070707326
0.0003470846036055250,746856.4101840980
0.00034808460360552500,749496.5142780940
0.0003490846036055250,752179.0678662240
0.0003500846036055250,754887.3056546940
0.0003510846036055250,757603.2894253950
0.00035208460360552500,760308.308376032
0.00035308460360552500,762983.3648839840
0.0003540846036055250,765609.6757247710
0.00035508460360552500,768169.14497644
0.00035608460360552500,770644.8086565100
0.00035708460360552500,773021.2535662080
0.00035808460360552500,775284.981288468
0.000359084603605525,777424.6753176600
0.00036008460360552500,779431.3560982000
0.00036108460360552500,781298.4420388190
0.00036208460360552500,783021.740728331
0.0003630846036055250,784599.3830359710
0.00036408460360552500,786031.7129591450
0.0003650846036055250,787321.1625145830
0.0003660846036055250,788472.1477158770
0.0003670846036055250,789491.0028470210
0.0003680846036055250,790385.9427092220
0.00036908460360552500,791167.0301219540
0.0003700846036055250,791846.1251535190
0.0003710846036055250,792436.7901370780
0.0003720846036055250,792954.1240600520
0.00037308460360552500,793414.5151029700
0.0003740846036055250,793835.3217352010
0.00037508460360552500,794234.4997687890
0.0003760846036055250,794630.1839264370
0.0003770846036055260,795040.2322151770
0.00037808460360552600,795481.759840205
0.0003790846036055260,795970.7097945770
0.0003800846036055260,796521.5074072100
0.0003810846036055260,797146.8286740020
0.0003820846036055260,797857.493012806
0.0003830846036055260,798662.4781392050
0.0003840846036055260,799569.0404591380
0.0003850846036055260,800582.9044235070
0.00038608460360552600,801708.4691641230
0.0003870846036055260,802948.9850161170
0.00038808460360552600,804306.673301615
0.00038908460360552600,805782.78170074
0.00039008460360552600,807377.5749165870
0.00039108460360552600,809090.2660502050
0.00039208460360552600,810918.9070977330
0.0003930846036055260,812860.2677891960
0.00039408460360552600,814909.7294459600
0.00039508460360552600,817061.2136044100
0.0003960846036055260,819307.1682112330
0.00039708460360552600,821638.6413010820
0.000398084603605526,824045.4618239780
0.000399084603605526,826516.5176000930
0.000400084603605526,829040.0947027140
0.000401084603605526,831604.2388030550
0.00040208460360552600,834197.1088811640
0.0004030846036055260,836807.2965361270
0.0004040846036055260,839424.0771042490
0.0004050846036055260,842037.5584949680
0.00040608460360552600,844638.7115070810
0.0004070846036055260,847219.2956844720
0.00040808460360552600,849771.7159344090
0.0004090846036055260,852288.8471648030
0.0004100846036055260,854763.8529898740
0.00041108460360552600,857190.0169190780
0.0004120846036055260,859560.6061483030
0.0004130846036055260,861868.7922457560
0.0004140846036055260,864107.6492528990
0.0004150846036055260,866270.2357357210
0.0004160846036055260,868349.7504001330
0.0004170846036055260,870339.7382502060
0.0004180846036055270,872234.318792005
0.00041908460360552600,874028.405611095
0.0004200846036055270,875717.8854280290
0.00042108460360552600,877299.727585618
0.00042208460360552700,878772.0083466310
0.00042308460360552700,880133.8561797370
0.00042408460360552700,881385.3428296980
0.00042508460360552700,882527.3484341100
0.0004260846036055270,883561.4186185830
0.00042708460360552700,884489.6200328790
0.00042808460360552700,885314.4006999080
0.0004290846036055270,886038.4719777050
0.00043008460360552700,886664.7371202090
0.0004310846036055270,887196.286082288
0.0004320846036055270,887636.4598456550
0.0004330846036055270,887988.9736524170
0.0004340846036055270,888258.0853505820
0.00043508460360552700,888448.7961145930
0.0004360846036055270,888567.064917635
0.00043708460360552700,888620.004799574
0.0004380846036055270,888616.0196306570
0.00043908460360552700,888564.8435835980
0.000440084603605527,888477.4599011320
0.00044108460360552700,888365.8936673570
0.00044208460360552700,888242.8912174770
0.0004430846036055270,888121.5160915380
0.00044408460360552700,888014.7070137840
0.0004450846036055270,887934.8490832940
0.0004460846036055270,887893.4016846400
0.0004470846036055270,887900.606311382
0.0004480846036055270,887965.2771279420
0.0004490846036055270,888094.6666483170
0.0004500846036055270,888294.3989525090
0.0004510846036055270,888568.4638670640
0.00045208460360552700,888919.2594468090
0.0004530846036055270,889347.6611620550
0.00045408460360552700,889853.0958363300
0.00045508460360552700,890433.6109659100
0.00045608460360552700,891085.9463436580
0.00045708460360552700,891805.6216278580
0.00045808460360552700,892587.0503718410
0.00045908460360552700,893423.6868905290
0.00046008460360552700,894308.2138706590
0.00046108460360552700,895232.7777297630
